#GRB 	Redshift 	T90 	log (M*/M☉) 	SFR 	log (Z/Z☉) 	SSFR 	AV
#		[s] 		[M☉ yr^-1] 		[Gyr^-1] 	
GRB 020813 	1.2550 	125.00 	8.66 	6.76 	 -1.0  	 -1.0  	 -1.0 
GRB 020405 	0.6910 	40.00 	9.75 	3.74 	 -1.0 0.20 	 -1.0  	 -1.0 
GRB 020124 	3.1980 	45.91 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 011211 	2.1410 	270.00 	9.77 	4.90 	 -1.0  	 -1.0  	 -1.0 
GRB 011121 	0.3620 	105.00 	9.81 	2.24 	 -1.0  	 -1.0  	0.38
GRB 010921 	0.4510 	12.00 	9.69 	2.50 	 -1.0 0.60 	 -1.0  	1.06
GRB 010222 	1.4800 	170.00 	8.82 	0.34 	 -1.0  	 -1.0  	 -1.0 
GRB 000926 	2.0360 	25.00 	9.52 	2.28 	 -1.0  	 -1.0  	 -1.0 
GRB 000911 	1.0585 	500.00 	9.32 	1.57 	 -1.0  	 -1.0  	 -1.0 
GRB 000418 	1.1180 	30.00 	9.26 	10.35 	 -1.0  	 -1.0  	 -1.0 
GRB 000301C 	2.0404 	10.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 000210 	0.8460 	12.30 	9.31 	2.28 	 -1.0  	1.10 	 -1.0 
GRB 000131 	4.5000 	50.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 991208 	0.7060 	60.00 	8.53 	4.52 	 -1.0 0.67 	 -1.0  	 -1.0 
GRB 990712 	0.4340 	30.00 	9.29 	2.39 	 -1.0  	 -1.0  	0.39
GRB 990705 	0.8420 	42.00 	10.20 	6.96 	 -1.0  	 -1.0  	 -1.0 
GRB 990510 	1.6190 	67.58 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 990506 	1.3100 	131.33 	9.48 	2.50 	 -1.0  	0.83 	 -1.0 
GRB 990123 	1.6000 	63.30 	9.42 	5.72 	 -1.0  	 -1.0  	 -1.0 
GRB 980703 	0.9660 	400.00 	10.00 	16.57 	 -1.0 0.20 	 -1.0  	 -1.0 
GRB 980613 	1.0970 	50.00 	8.49 	4.70 	 -1.0  	 -1.0  	 -1.0 
GRB 980425 	0.0085 	23.30 	8.68 	0.26 	 -1.0 0.50 	0.53 	1.73
GRB 971214 	3.4200 	20.00 	9.59 	11.40 	 -1.0  	 -1.0  	 -1.0 
GRB 970828 	0.9580 	160.00 	9.19 	0.87 	 -1.0  	 -1.0  	 -1.0 
GRB 970508 	0.8350 	15.00 	8.52 	1.14 	 -1.0  	 -1.0  	 -1.0 
GRB 970228 	0.6950 	80.00 	8.65 	0.53 	 -1.0  	 -1.0  	 -1.0 
	
